"","Rk","G","Date","Age","Tm","X","Opp","X.1","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","X...","Result","Dummy"
"364",36,36,"2017-01-02","27-129","HOU","","WAS","W (+10)","1","42:04","6","24",".250","2","11",".182","9","10",".900","1","9","10","10","3","0","6","1","23","15.2","+14","W",1
"365",37,37,"2017-01-05","27-132","HOU","","OKC","W (+2)","1","38:05","6","16",".375","2","7",".286","12","14",".857","1","7","8","12","1","1","6","2","26","22.5","+2","W",1
"366",38,38,"2017-01-06","27-133","HOU","@","ORL","W (+7)","1","34:09","5","15",".333","0","8",".000","4","6",".667","1","5","6","10","1","0","6","4","14","7.3","-6","W",1
"367",39,39,"2017-01-08","27-135","HOU","@","TOR","W (+7)","1","37:51","13","26",".500","4","9",".444","10","10","1.000","3","7","10","11","2","2","10","3","40","31.1","-3","W",1
"368",40,40,"2017-01-10","27-137","HOU","","CHO","W (+7)","1","37:47","11","24",".458","7","14",".500","11","14",".786","1","14","15","10","0","0","4","3","40","33.1","+2","W",1
"369",41,41,"2017-01-11","27-138","HOU","@","MIN","L (-14)","1","38:38","10","23",".435","2","11",".182","11","13",".846","0","6","6","12","1","2","6","0","33","26.7","-10","L",0
"370",42,42,"2017-01-13","27-140","HOU","","MEM","L (-5)","1","36:43","6","14",".429","2","7",".286","13","14",".929","0","3","3","9","1","0","7","3","27","19.2","-2","L",0
"371",43,43,"2017-01-15","27-142","HOU","@","BRK","W (+25)","1","31:31","6","16",".375","4","9",".444","6","7",".857","2","10","12","11","1","0","7","4","22","17.3","+18","W",1
"372",44,44,"2017-01-17","27-144","HOU","@","MIA","L (-6)","1","39:20","12","30",".400","4","15",".267","12","13",".923","1","11","12","10","2","0","6","3","40","29.2","0","L",0
"373",45,45,"2017-01-18","27-145","HOU","","MIL","W (+19)","1","36:42","14","25",".560","4","11",".364","6","6","1.000","0","6","6","8","0","2","2","2","38","32.1","+21","W",1
"374",46,46,"2017-01-20","27-147","HOU","","GSW","L (-17)","1","34:56","6","13",".462","0","5",".000","5","5","1.000","0","6","6","11","1","0","7","3","17","12.6","-20","L",0
